Lizard;Lat_UTM;Long_UTM
BGR;363532,7188;6244321,919
BGR;363532,7188;6244321,919
BGR;363525,1935;6244309,487
BGR;363525,2378;6244306,407
BGR;363530,3729;6244306,481
BGR;363540,909;6244288,147
BGR;363525,5924;6244281,764
BGR;363523,1135;6244275,567
BGR;363528,2929;6244272,56
BGR;363528,3372;6244269,48
BGR;363523,2021;6244269,406
BGR;363548,9219;6244266,695
BGR;363525,814;6244266,363
BGR;363541,3522;6244257,344
BGR;363531,3037;6244241,794
BGR;363521,0335;6244241,647
BGW;363642,4154;6244372,792
BGW;363621,9191;6244369,416
BGW;363606,6466;6244359,954
BGW;363606,7352;6244353,793
BGW;363642,7697;6244348,149
BGW;363622,2292;6244347,854
BGW;363617,094;6244347,78
BGW;363640,2464;6244345,032
BGW;363619,7059;6244344,737
BGW;363604,3891;6244338,355
BGW;363601,8215;6244338,318
BGW;363601,8658;6244335,238
BGW;363601,8658;6244335,238
BGW;363601,8658;6244335,238
BGW;363640,5122;6244326,55
BGW;363648,7463;6244289,698
BGW;363633,3409;6244289,476
BGW;363605,1422;6244285,99
BGW;363630,862;6244283,279
BGW;363625,904;6244270,884
BWB;363839,8091;6244397,194
BWB;363842,3767;6244397,231
BWB;363842,4209;6244394,151
BWB;363829,6272;6244390,886
BWB;363847,7329;6244381,903
BWB;363865,706;6244382,161
BWB;363863,1384;6244382,124
BWB;363865,927;6244366,76
BWB;363860,7919;6244366,686
BWB;363855,701;6244363,532
BWB;363863,4037;6244363,643
BWB;363863,4037;6244363,643
BWB;363858,3128;6244360,489
BWB;363863,4479;6244360,562
BWB;363884,1211;6244351,616
BWB;363835,3815;6244347,836
BWG;363734,3171;6244411,084
BWG;363722,0545;6244370,856
BWG;363724,6221;6244370,892
BWG;363724,6221;6244370,892
BWG;363722,0545;6244370,856
BWG;363724,6221;6244370,892
BWG;363727,2339;6244367,849
BWG;363727,2782;6244364,769
BWG;363729,8457;6244364,806
BWG;363727,2782;6244364,769
BWG;363729,89;6244361,725
BWG;363719,664;6244358,497
BWG;363735,1137;6244355,638
BWG;363732,7231;6244343,28
BWG;363732,7231;6244343,28
BWG;363730,1555;6244343,243
BWG;363699,6104;6244324,319
BWG;363712,5367;6244318,343
BWG;363707,5786;6244305,948
BWG;363717,8931;6244303,015
BWY;363682,8328;6244240,893
BWY;363675,1745;6244237,702
BWY;363575,395;6244211,619
BWY;363629,6232;6244190,833
BWY;363634,8025;6244187,826
BWY;363663,1338;6244182,072
BWY;363883,985;6244182,163
BWY;363627,2328;6244178,475
BWY;363627,2771;6244175,394
BWY;363588,7643;6244174,84
BWY;363642,8594;6244163,295
BWY;363630,199;6244150,789
BYG;363591,0217;6244196,439
BYG;363583,3634;6244193,248
BYG;363593,8993;6244174,914
BYG;363596,5554;6244168,791
BYG;363570,9689;6244162,261
BYG;363596,644;6244162,63
BYG;363609,6145;6244153,574
GBG;363676,8565;6244299,344
GBG;363682,0359;6244296,338
GBG;363676,945;6244293,184
GBG;363661,5397;6244292,962
GBG;363679,5126;6244293,221
GBG;363684,692;6244290,214
GBG;363633,3409;6244289,476
GBG;363671,8542;6244290,03
GBG;363674,4218;6244290,067
GBG;363679,6012;6244287,06
GBG;363684,7805;6244284,054
