"id"	"area"
"BDbB"	"BDbB"	4251.8671875
"BGR"	"BGR"	763.36279296875
"BGW"	"BGW"	3211.66259765625
"BWG"	"BWG"	3065.318359375
"GBG"	"GBG"	280.82177734375
"GBR"	"GBR"	949.243896484375
"GBW"	"GBW"	593.28369140625
"GRB"	"GRB"	1036.267578125
"GYB"	"GYB"	486.488037109375
"RBR"	"RBR"	431.123291015625
"RBY"	"RBY"	996.72314453125
"RGB"	"RGB"	2183.27514648438
"RWY"	"RWY"	668.431640625
"RYB"	"RYB"	2218.88500976562
"RYW"	"RYW"	518.137939453125
"WBG"	"WBG"	889.9306640625
"WGB"	"WGB"	1194.47631835938
"WYR"	"WYR"	577.465087890625
"WYW"	"WYW"	3441.05883789062
"YBW"	"YBW"	1633.50122070312
"YDbW"	"YDbW"	688.212158203125
"YDbY"	"YDbY"	814.767822265625
"YGB"	"YGB"	2673.75805664062
"YGW"	"YGW"	296.64111328125
"YWB"	"YWB"	367.841796875
"YWY"	"YWY"	2321.71020507812
