"id"	"area"
"BGR"	"BGR"	1328.95654296875
"BGW"	"BGW"	3480.61743164062
"BWB"	"BWB"	1237.99682617188
"BWG"	"BWG"	1293.36596679688
"BWY"	"BWY"	5331.59350585938
"BYG"	"BYG"	549.77099609375
"GBG"	"GBG"	557.687255859375
"GBR"	"GBR"	1605.80297851562
"GBW"	"GBW"	617.01416015625
"GRB"	"GRB"	1475.29809570312
"GYB"	"GYB"	316.415771484375
"RBR"	"RBR"	126.56787109375
"RBY"	"RBY"	3365.91333007812
"RGB"	"RGB"	1158.87719726562
"RGW"	"RGW"	316.421142578125
"RYB"	"RYB"	280.821533203125
"RYW"	"RYW"	1190.529296875
"WBG"	"WBG"	965.0771484375
"WBY"	"WBY"	1194.48486328125
"WGB"	"WGB"	1234.02905273438
"WYB"	"WYB"	917.6171875
"WYR"	"WYR"	1582.09399414062
"YBG"	"YBG"	158.211181640625
"YGW"	"YGW"	1526.71264648438
"YWY"	"YWY"	668.431396484375
