Lizard_ID	OTM	Temp	Sun	Wind	Orientation
BGR	1	rock	full sun	exposed	N
BGR	2	rock	full sun	exposed	N
BGR	3	rock	partly sun	not	N
BGR	4	rock	shade	not	N
BGR	5	soil	partly sun	not	N
BGR	6	soil	shade	not	N
BGR	7	soil	full sun	not	N
BGR	8	rock	full sun	exposed	S
BGR	9	rock	full sun	exposed	S
BGR	10	rock	partly sun	not	S
BGR	11	soil	full sun	not	S
BGR	12	rock	full sun	exposed	E
BGR	13	rock	full sun	exposed	E
BGR	14	rock	partly sun	not	E
BGR	15	soil	full sun	not	E
BGR	16	rock	full sun	exposed	W
BGR	17	rock	full sun	exposed	W
BGR	18	rock	partly sun	not	W
BGR	19	soil	full sun	not	W
BGR	20	rock	crevice	not	
BGR	21	rock	crevice	not	
BRY	22	rock	full sun	exposed	N
BRY	23	rock	full sun	exposed	N
BRY	24	rock	partly sun	not	N
BRY	25	rock	shade	not	N
BRY	26	soil	partly sun	not	N
BRY	27	soil	shade	not	N
BRY	28	soil	full sun	not	N
BRY	29	rock	full sun	exposed	S
BRY	30	rock	full sun	exposed	S
BRY	31	rock	partly sun	not	S
BRY	32	soil	full sun	not	S
BRY	33	rock	full sun	exposed	E
BRY	34	rock	full sun	exposed	E
BRY	35	rock	partly sun	not	E
BRY	36	soil	full sun	not	E
BRY	37	rock	full sun	exposed	W
BRY	38	rock	full sun	exposed	W
BRY	39	rock	partly sun	not	W
BRY	40	soil	full sun	not	W
BRY	41	rock	crevice	not	
BRY	42	rock	crevice	not	
BWB	43	rock	full sun	exposed	N
BWB	44	rock	full sun	exposed	N
BWB	45	rock	partly sun	not	N
BWB	46	rock	shade	not	N
BWB	47	soil	partly sun	not	N
BWB	48	soil	shade	not	N
BWB	49	soil	full sun	not	N
BWB	50	rock	full sun	exposed	S
BWB	51	rock	full sun	exposed	S
BWB	52	rock	partly sun	not	S
BWB	53	soil	full sun	not	S
BWB	54	rock	full sun	exposed	E
BWB	55	rock	full sun	exposed	E
BWB	56	rock	partly sun	not	E
BWB	57	soil	full sun	not	E
BWB	58	rock	full sun	exposed	W
BWB	59	rock	full sun	exposed	W
BWB	60	rock	partly sun	not	W
BWB	61	soil	full sun	not	W
BWB	62	rock	crevice	not	
BWB	63	rock	crevice	not	
BWG	64	rock	full sun	exposed	N
BWG	65	rock	full sun	exposed	N
BWG	66	rock	partly sun	not	N
BWG	67	rock	shade	not	N
BWG	68	soil	partly sun	not	N
BWG	69	soil	shade	not	N
BWG	70	soil	full sun	not	N
