Lizard_ID	Topt	Max_SS	Topt1_75	Topt2_75
BGR	41.1	1.835605917	30	43.1
BGW	39.8	1.869545138	30	43.1
BWG	33.6	1.134472704	22.7	40.6
GBG	39.3	1.262110743	26	43
GBR	43.1	1.354809267	26.6	44.4
GBW	42.3	0.60002054	19.9	43.8
GRB	28.5	0.852549132	19.2	37.9
GYB	37.6	1.544305328	27.9	42.4
RBR	39.5	1.544606085	26.4	43
RBY	26.8	0.87204993	16.6	37
RGB	43	0.498324975	26.1	44.3
RWY	42.8	1.05711815	26.6	44.3
RYB	43	2.031532737	33	44.3
RYW	39.9	2.105087043	27.7	42.7
WBG	41.1	1.194823364	27.8	43.4
WGB	38.7	1.261832823	25.3	42.8
WYR	35.1	1.853047108	27.2	41
YGW	34.3	1.561845431	23.7	40.7
YWY	29.4	1.445501104	22.3	36.4
