Lizard_ID	OTM	Temp	Sun	Wind	Orientation
BGR	1	rock	full sun	exposed	N
BGR	2	rock	full sun	exposed	N
BGR	3	rock	partly sun	not	N
BGR	4	rock	shade	not	N
BGR	5	soil	partly sun	not	N
BGR	6	soil	shade	not	N
BGR	7	soil	full sun	not	N
BGR	8	rock	full sun	exposed	S
BGR	9	rock	partly sun	not	S
BGR	10	soil	full sun	not	S
BGR	11	rock	full sun	exposed	E
BGR	12	rock	partly sun	not	E
BGR	13	soil	full sun	not	E
BGR	14	rock	full sun	exposed	W
BGR	15	rock	partly sun	not	W
BGR	16	soil	full sun	not	W
BGR	17	rock	crevice	not	
BGR	18	rock	crevice	not	
BGW	19	rock	full sun	exposed	N
BGW	20	rock	full sun	exposed	N
BGW	21	rock	partly sun	not	N
BGW	22	rock	shade	not	N
BGW	23	soil	partly sun	not	N
BGW	24	soil	shade	not	N
BGW	25	soil	full sun	not	N
BGW	26	rock	full sun	exposed	S
BGW	27	rock	partly sun	not	S
BGW	28	soil	full sun	not	S
BGW	29	rock	full sun	exposed	E
BGW	30	rock	partly sun	not	E
BGW	31	soil	full sun	not	E
BGW	32	rock	full sun	exposed	W
BGW	33	rock	partly sun	not	W
BGW	34	soil	full sun	not	W
BGW	35	rock	crevice	not	
BGW	36	rock	crevice	not	
BWG	37	rock	full sun	exposed	N
BWG	39	rock	partly sun	not	N
BWG	40	rock	shade	not	N
BWG	41	soil	partly sun	not	N
BWG	42	soil	shade	not	N
BWG	43	soil	full sun	not	N
BWG	44	rock	full sun	exposed	S
BWG	45	rock	partly sun	not	S
BWG	46	soil	full sun	not	S
BWG	47	rock	full sun	exposed	E
BWG	48	rock	partly sun	not	E
BWG	49	soil	full sun	not	E
BWG	50	rock	full sun	exposed	W
BWG	51	rock	partly sun	not	W
BWG	52	soil	full sun	not	W
BWG	53	rock	crevice	not	
BWG	54	rock	crevice	not	
GBG	55	rock	full sun	exposed	N
GBG	56	rock	full sun	exposed	N
GBG	57	rock	partly sun	not	N
GBG	58	rock	shade	not	N
GBG	59	soil	partly sun	not	N
GBG	60	soil	shade	not	N
GBG	61	soil	full sun	not	N
GBG	62	rock	full sun	exposed	S
GBG	63	rock	partly sun	not	S
GBG	64	soil	full sun	not	S
GBG	65	rock	full sun	exposed	E
GBG	66	rock	partly sun	not	E
GBG	67	soil	full sun	not	E
GBG	69	rock	partly sun	not	W
GBG	70	soil	full sun	not	W
GBG	71	rock	crevice	not	
GBG	72	rock	crevice	not	
GBR	73	rock	full sun	exposed	N
