Lizard_ID	Tpref	Max_SS	Tpref1_75	Tpref2_75
BGR	41.1	1.544835201	29.8	43
BGW	39.4	1.448184501	29.6	43
BWG	33	0.98214468	22.1	40.2
GBG	35.8	1.101364002	22.8	43.2
GBR	43.4	1.255061341	33.5	44.5
GBW	42.3	0.60002054	19.9	43.8
GRB	28.7	0.828855959	21.1	36.3
GYB	36.5	1.311652038	26.8	41.8
RBR	35.5	1.461857092	26.6	41.1
RBY	26.5	0.722535445	16.6	36.3
RGB	42	0.483047688	32.2	44
RWY	42.5	0.989675985	32	44.2
RYB	43.5	1.531387547	24.5	44.3
RYW	39	1.792574088	26.7	42.3
WBG	39.2	0.815748689	25.8	42.8
WGB	35.6	1.130429099	24.6	41.7
WYR	35.9	1.453756473	28	41.3
YGW	31.5	1.383368237	21	39.2
YWY	30.8	1.158465092	23.7	36.9
				
