Lizard_ID	Topt	Max_SS	Topt1_80	Topt2_80
BGR	41.1	1.835605917	31.5	43
BGW	39.8	1.869545138	31.6	42.9
BWG	33.6	1.134472704	24.1	40
GBG	39.3	1.262110743	27.9	42.7
GBR	43.1	1.354809267	28.6	44.3
GBW	42.3	0.60002054	20.7	43.7
GRB	28.5	0.852549132	20.3	36.8
GYB	37.6	1.544305328	29.3	42
RBR	39.5	1.544606085	28.3	42.7
RBY	26.8	0.87204993	17.7	35.8
RGB	43	0.498324975	28.2	44.3
RWY	42.8	1.05711815	28.6	44.2
RYB	43	2.031532737	35	44.3
RYW	39.9	2.105087043	29.4	42.5
WBG	41.1	1.194823364	29.7	43.2
WGB	38.7	1.261832823	27.2	42.5
WYR	35.1	1.853047108	28.2	40.4
YGW	34.3	1.561845431	25.1	40.2
YWY	29.4	1.445501104	23.1	35.7
