Lizard_ID,Mb,SVL,Season,Hours_average,Hours_combined,Hours_crevice,Hours_full.sun,Hours_partly.sun,Hours_shade,Tb_average,Dev_Topt,Dev_Tpref,Basking,Thigmothermy,Head bobbing,Push-ups,Sitting in shade,Half shade,Moving,Eating,Courting,Competition,Won,Lost,Sum_Thermoregulation,Sum_activity,Sum_displays
BGR,24.33,86.76,summer,1.170997807,4.683991228,0.315789474,1.665570175,1.623684211,1.078947368,35.36428571,5.735714286,1.507142857,,,,,,,,,,,,,,,
BGW,20.09,83.87,summer,,,,,,,37.93958333,1.952083333,2.222916667,0.145498507,0.589676139,0.036319613,0.933841246,0.073560768,0.061833689,0.14330885,0,0,0,0,0,0.870569102,0.14330885,0.970160859
BWG,23.01,88.5,summer,4.771162281,19.08464912,4.279605263,3.839912281,5.632894737,5.332236842,37.1925,3.5925,1.1275,0.351082986,0.48621898,0.237146119,1.049843161,0,0,0.229864006,0.007739726,0.08,0,0,0,0.837301965,0.317603732,1.286989279
GBG,24.39,88.83,summer,1.952384868,7.809539474,1.555921053,1.649671053,2.235526316,2.368421053,37.20902778,2.195138889,1.925694444,0.303888889,0.548143939,0.108657407,1.364654882,0.0125,0.03125,0.22746633,0.0125,0.04,0.102222222,0.4,0,0.895782828,0.382188552,1.47331229
GBR,18.76,80.31,summer,1.821957237,7.287828947,0.957236842,2.442434211,2.947368421,0.940789474,36.24333333,6.856666667,1.34,0.080019699,0.739106962,0.151222404,1.150898886,0,0,0.21424327,0,0.036893204,0,0,0,0.819126661,0.251136474,1.30212129
GBW,26.84,93.4,summer,4.546830144,18.18732057,4.898026316,3.126794258,4.488157895,5.674342105,36.8875,5.4125,1.5475,0.408875353,0.355674342,0.408350905,2.016625933,0.027865336,0,0.307987316,0.019838057,0.041666667,0.107017544,0.166666667,0,0.792415032,0.476509583,2.424976838
GRB,25.36,89.57,summer,,,,,,,37.575,9.075,1.525,0.221827549,0.483221437,0.140871624,1.481591732,0,0.025132275,0.222679806,0.002989418,0.026455026,0,0,0,0.730181261,0.25212425,1.622463355
GYB,19.28,83.71,summer,1.54002193,6.160087719,0.835526316,1.512061404,1.625,2.1875,36.77909091,1.423939394,1.142727273,0.487105685,0.373671559,0.03125,1.004154015,0,0.078947368,0.159444585,0.0078125,0,0,0,0,0.939724612,0.167257085,1.035404015
RBR,25.14,85.67,summer,2.271408991,9.085635965,1.078947368,2.818530702,3.352631579,1.835526316,36.574,2.926,1.114,0.142676768,0.688615775,0.131158576,1.205493167,0.007352941,0.005050505,0.211706497,0.01010101,0,0.050505051,0.25,0,0.843695989,0.272312558,1.336651743
RBY,23.46,87.17,summer,,,,,,,38.74166667,11.94166667,2.675,0.466769177,0.3757307,0.055834082,0.42199474,0.006451613,0.056672716,0.1409796,0.017791308,0,0.005517241,0,0.2,0.905624206,0.16428815,0.477828823
RGB,21.03,82.99,summer,1.490433114,5.961732456,0.789473684,2.145285088,1.576315789,1.450657895,37.29444444,5.705555556,1.394444444,0.278847926,0.575953079,0.056858912,1.084323419,0.003809524,0,0.20791463,0.005714286,0.064516129,0,0,0,0.858610529,0.278145045,1.14118233
WBG,25.45,90.78,summer,,,,,,,36.22857143,4.871428571,1.871428571,0.501560375,0.230098749,0.283266275,2.648372826,0,0,0.335204402,0,0.222222222,0.039473684,0.25,0,0.731659124,0.596900309,2.931639101
WGB,24.62,92.03,summer,3.345723684,13.38289474,3.029605263,3.213815789,4.034210526,3.105263158,37.33611111,2.269444444,2.486111111,0.418606776,0.484886883,0.101180341,0.99151551,0,0,0.129691539,0.007692308,0,0,0,0,0.903493658,0.137383847,1.092695851
