Father_ID,Code,CPI_MAF10_all,CPI_MAF20_all,CPI_407_all,CPI_407_75,Hours_average_S,Hours_combined_S,Hours_crevice_S,Hours_full.sun_S,Hours_partly.sun_S,Hours_shade_S,Hours_average_A,Hours_combined_A,Hours_crevice_A,Hours_full.sun_A,Hours_partly.sun_A,Hours_shade_A
AA070,BGR,some,zero,some,some,1.170997807,4.683991228,0.315789474,1.665570175,1.623684211,1.078947368,0.825890313,3.303561254,0,0.965099715,1.267948718,1.070512821
AA071,BGW,zero,zero,zero,zero,,,,,,,0.531606125,2.126424501,0.230769231,1.097578348,0.794871795,0.003205128
AA079,BWG,zero,zero,some,some,4.771162281,19.08464912,4.279605263,3.839912281,5.632894737,5.332236842,2.552483974,10.2099359,0.894230769,3.745192308,3.448717949,2.121794872
AA048,GBG,zero,some,some,some,1.952384868,7.809539474,1.555921053,1.649671053,2.235526316,2.368421053,1.437126068,5.748504274,0,2.055555556,2.356410256,1.336538462
AA041,GBR,zero,zero,zero,zero,1.821957237,7.287828947,0.957236842,2.442434211,2.947368421,0.940789474,0.997195513,3.988782051,0.157051282,2.131410256,1.463141026,0.237179487
AA049,GBW,some,some,some,some,4.546830144,18.18732057,4.898026316,3.126794258,4.488157895,5.674342105,4.677159646,18.70863858,4.217948718,4.889194139,5.495726496,4.105769231
AA045,GRB,some,some,some,some,,,,,,,4.068309295,16.27323718,2.076923077,5.111378205,4.719551282,4.365384615
AA050,GYB,zero,zero,zero,zero,1.54002193,6.160087719,0.835526316,1.512061404,1.625,2.1875,0.983297721,3.933190883,0.346153846,1.729344729,1.402564103,0.455128205
AA117,RBR,some,some,zero,zero,2.271408991,9.085635965,1.078947368,2.818530702,3.352631579,1.835526316,1.336137821,5.344551282,0,2.331730769,2.121794872,0.891025641
AA119,RBY,some,some,zero,zero,,,,,,,6.124532585,24.49813034,5.099358974,6.390224359,6.155982906,6.852564103
AA111,RGB,zero,zero,zero,zero,1.490433114,5.961732456,0.789473684,2.145285088,1.576315789,1.450657895,1.363247863,5.452991453,0,2.485042735,1.878205128,1.08974359
AA055,WBG,zero,zero,some,some,,,,,,,1.232229345,4.928917379,0.099358974,2.237891738,1.665384615,0.926282051
AA052,WGB,some,some,some,some,3.345723684,13.38289474,3.029605263,3.213815789,4.034210526,3.105263158,2.161431624,8.645726496,0.775641026,3.098290598,2.823076923,1.948717949
AA072,WYR,some,some,zero,zero,,,,,,,1.433564815,5.734259259,0.423076923,2.137464387,2.375641026,0.798076923
AA035,YGW,zero,some,zero,zero,,,,,,,3.014049145,12.05619658,2.102564103,3.638888889,4.484615385,1.830128205
AA066,YWY,some,some,some,some,3.973684211,15.89473684,3.144736842,3.207894737,5.292105263,4.25,3.530982906,14.12393162,3.775641026,3.288461538,4.88034188,2.179487179
